               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.064944,            0.017065,            0.023387,             0.37476,             0.83761,             0.55003,             0.22634,            0.032372,            0.010897,            0.018603,             0.00307,             0.00307,             0.00307
                  37,             0.05665,            0.023142,            0.025046,             0.54664,             0.78205,             0.75052,             0.33175,            0.029819,            0.010743,            0.018559,            0.002872,            0.002872,            0.002872
                  38,            0.048023,            0.017655,            0.019554,             0.56131,             0.83547,             0.80243,             0.44811,             0.02537,            0.010873,            0.018419,            0.002674,            0.002674,            0.002674
                  39,            0.043357,            0.018518,            0.020866,             0.65883,             0.89103,             0.85328,             0.47098,            0.025583,            0.010792,            0.018045,            0.002476,            0.002476,            0.002476
                  40,             0.04682,            0.020315,            0.023624,             0.65883,             0.89103,             0.85328,             0.47098,            0.025583,            0.010792,            0.018045,            0.002278,            0.002278,            0.002278
                  41,            0.048704,            0.020887,             0.02272,             0.62816,             0.90976,              0.8594,             0.57105,            0.021535,             0.01063,            0.017756,             0.00208,             0.00208,             0.00208
                  42,            0.051119,            0.017183,            0.028144,             0.64094,             0.91582,              0.8865,             0.56255,            0.022111,            0.010492,            0.017381,            0.001882,            0.001882,            0.001882
                  43,            0.044138,            0.017308,            0.025087,             0.66652,             0.93554,             0.89826,             0.61692,            0.019343,            0.010276,            0.017286,            0.001684,            0.001684,            0.001684
                  44,            0.036649,            0.019671,            0.023414,             0.66652,             0.93554,             0.89826,             0.61692,            0.019343,            0.010276,            0.017286,            0.001486,            0.001486,            0.001486
                  45,            0.050036,            0.016699,            0.024435,              0.6582,             0.97222,             0.91786,             0.65856,            0.018673,            0.010099,            0.017063,            0.001288,            0.001288,            0.001288
                  46,            0.045317,            0.018479,            0.021059,              0.6515,             0.96246,             0.91737,             0.60118,            0.019666,           0.0098589,            0.016715,             0.00109,             0.00109,             0.00109
                  47,            0.040169,             0.01707,            0.021373,             0.66244,             0.96226,             0.91394,             0.63591,             0.01858,           0.0097358,            0.016452,            0.000892,            0.000892,            0.000892
                  48,            0.039844,            0.019989,            0.020779,             0.66244,             0.96226,             0.91394,             0.63591,             0.01858,           0.0097358,            0.016452,            0.000694,            0.000694,            0.000694
                  49,            0.036993,             0.02007,            0.018849,              0.6675,             0.94444,             0.89527,             0.63321,            0.018412,           0.0096423,            0.016336,            0.000496,            0.000496,            0.000496
