epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
182,31620.8,0.895,0.71839,1.40664,0.99928,0.99915,0.995,0.83117,0.65493,0.39217,1.25544,0.000148687,0.000148687,0.000148687
183,31762.9,0.89178,0.70267,1.41815,0.99822,0.99903,0.995,0.83373,0.65116,0.39262,1.26174,0.000141614,0.000141614,0.000141614
184,31903.6,0.87675,0.72055,1.4137,0.99882,0.99975,0.995,0.83106,0.64735,0.39422,1.25752,0.00013454,0.00013454,0.00013454
185,32043.9,0.8752,0.72747,1.40172,0.99926,1,0.995,0.83502,0.63815,0.3925,1.25315,0.000127467,0.000127467,0.000127467
186,32183.1,0.87547,0.70869,1.39889,0.99775,1,0.995,0.83822,0.64021,0.38831,1.25119,0.000120393,0.000120393,0.000120393
187,32327.4,0.89637,0.73671,1.42864,0.99964,0.99896,0.995,0.83827,0.6419,0.38925,1.24317,0.00011332,0.00011332,0.00011332
188,32467.4,0.88119,0.72512,1.4222,0.99921,0.99861,0.995,0.83601,0.63673,0.39067,1.25274,0.000106246,0.000106246,0.000106246
189,32607.6,0.85787,0.69002,1.40303,0.99588,0.99932,0.995,0.84072,0.62911,0.38636,1.24758,9.91726e-05,9.91726e-05,9.91726e-05
190,32748.5,0.84846,0.72075,1.36896,0.99905,0.99429,0.995,0.84026,0.62468,0.3859,1.24132,9.20991e-05,9.20991e-05,9.20991e-05
191,32883.6,0.74046,0.50533,1.35778,0.99435,1,0.995,0.83594,0.63189,0.3882,1.23638,8.50255e-05,8.50255e-05,8.50255e-05
192,33020.1,0.71854,0.49791,1.30211,0.99903,0.99589,0.995,0.84074,0.62793,0.38749,1.23826,7.7952e-05,7.7952e-05,7.7952e-05
193,33158.4,0.7091,0.46835,1.31127,0.99859,0.99498,0.995,0.84539,0.61338,0.39015,1.23113,7.08784e-05,7.08784e-05,7.08784e-05
194,33294.9,0.70227,0.44722,1.32195,0.99758,0.99697,0.995,0.84428,0.61398,0.38656,1.22936,6.38049e-05,6.38049e-05,6.38049e-05
195,33435.1,0.7088,0.457,1.29799,0.9992,0.99737,0.995,0.84216,0.61836,0.38334,1.23277,5.67313e-05,5.67313e-05,5.67313e-05
196,33571.9,0.71003,0.44314,1.30208,0.99833,0.99944,0.995,0.84639,0.61094,0.38131,1.2267,4.96578e-05,4.96578e-05,4.96578e-05
197,33712.6,0.6976,0.44059,1.31746,0.99826,0.99947,0.995,0.85091,0.60443,0.3807,1.22235,4.25842e-05,4.25842e-05,4.25842e-05
198,33849.5,0.67034,0.43518,1.26828,0.99829,0.9995,0.995,0.85003,0.60145,0.3794,1.22022,3.55107e-05,3.55107e-05,3.55107e-05
199,33987.1,0.6833,0.43602,1.27882,0.99802,0.99948,0.995,0.85446,0.59249,0.37678,1.21376,2.84371e-05,2.84371e-05,2.84371e-05
200,34124.4,0.68979,0.43452,1.27772,0.99734,0.99943,0.995,0.85274,0.59223,0.37555,1.21459,2.13636e-05,2.13636e-05,2.13636e-05
